"Delivery Address ID","Delivery Address","Consignment Reference","Sale Order Reference","Sale Order Date added","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Product Code","Product Name","Product Type","Expiry date","Unit of Measure","Order Qty","Ship Qty"
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-02,Carton,216,15
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,PFL,"Pitaya Flow","Frozen -18C to -20C",2026-03-07,Carton,72,36
3884,"Fridge It Logistics Sa, , 64a Ninth Avenue, WOODVILLE NORTH, , ",Acai/Adel-41,Acai/Adel-41,"2025-05-12 09:46:24",2025-05-14,"2025-05-19 11:14:32",SA,0,5,4,8.403,3025,PFL,"Pitaya Flow","Frozen -18C to -20C",2026-03-07,Carton,72,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-23,Carton,72,65
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,SCACAI,"Acai Flow Scoopable","Frozen -18C to -20C",2026-12-02,Carton,72,7
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
21552,"Chill Wa, Chill Wa, 5 Chifley Brace, JANDAKOT, , ",Acai/Per75,Acai/Per75,"2025-05-12 10:10:29",2025-05-15,"2025-05-21 08:49:24",WA,0,7,4,12.209,3242,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-10-31,Carton,216,36
9351,"Kunara Organic Market  Doca, , 330 Mons Road, FOREST GLEN, , ",CAFE6834,CAFE6834,"2025-05-13 09:05:01",2025-05-15,"2025-05-15 15:15:40","SUNSHINE COAST",3,0,0,0,36,AFT,"Acai Flow Tubs","Frozen -18C to -20C",2026-11-18,Carton,3,3
829,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat","2025-05-12 08:32:37",2025-05-12,"2025-05-12 08:34:59",DEFAULT,104,0,0,0,145.6,1000472,"COCOBELLA COCONUT YOGHURT VANILLA","Chiller 0C to +4C",2025-05-27,Carton,19,19
829,"*Chill Qld, , 24 Octal Street, YATALA, , 1035052","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat","CC144999 12/05 RETURN COCOBELLA MDC leftovers + collat","2025-05-12 08:32:37",2025-05-12,"2025-05-12 08:34:59",DEFAULT,104,0,0,0,145.6,1000474,"COCOBELLA COCONUT YOGHURT MANGO","Chiller 0C to +4C",2025-05-27,Carton,85,85
181,"Bidfood Brisbane, , 59 Pegasus Drive, MORNINGSIDE, , Bidfood Brisbane","INV-23975/ P8337217.BRI","INV-23975/ P8337217.BRI","2025-05-08 09:25:47",2025-05-15,"2025-05-15 12:49:44","METRO 1",0,1,0,1.35,297,110130,"Marcel's Large Pancakes 115m","Frozen -18C to -20C",2027-03-28,Carton,12,12
