"Delivery Address ID","Delivery Address","Consignment Reference","Delivery Run Date","Date Delivered","Delivery Run",Quantity,Pallets,Spaces,"Cubic (m³)","Weight (kg)","Ship Qty"
12977,"Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ","INV-24001/ P8340654",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,23
12977,"Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ","INV-24001/ P8340654",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,2
12977,"Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ","INV-24001/ P8340654",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,12
12977,"Bidfood - Botany, , 14 Mcpherson Street, BANKSMEADOW, , ","INV-24001/ P8340654",2025-05-14,"2025-05-16 10:34:39","QLD to NSW Shuttle",0,1,0,1.764,386.2,8
25854,"Solskin Beauty Labs Pty Ltd, Solskin Beauty Labs Pty Ltd, 54 Lakewood Blvd, Carrum Downs, 3201, Vic, Australia, CARRUM DOWNS, Melb, SOLSKIN","OC-1325( Solskin)",2025-05-14,"2025-05-16 17:18:36","QLD to NSW Shuttle",0,1,0,1.764,160,8
25081,"Stoa Bokarina, Jasmin Smith, 42 Bokarina Boulevard, Shop 1, BOKARINA, , ",OMO11008,2025-05-13,"2025-05-13 11:49:41","SUNSHINE COAST",2,0,0,0,24,2
22380,"Decisions Cafe, , 10 Capital Place, 4, BIRTINYA, , ",OMO11009,2025-05-15,"2025-05-15 13:37:46","SUNSHINE COAST",2,0,0,0,24,2
24757,"Fresh Coffee Bar, Natalie Swan, 194 Varsity Parade, VARSITY LAKES, , ",OMO11013,2025-05-14,"2025-05-14 15:05:45","GOLD COAST",2,0,0,0,24,2
11658,"Urban Eatery & Cafe, , 90 Surf Parade, Shop 4, BROADBEACH, , ",OMO11018,2025-05-14,"2025-05-14 12:17:41","GOLD COAST",5,0,0,0,60,5
12748,"Old Maids, , 30 Tweed Street, BRUNSWICK HEADS, , ",OMO11036,2025-05-16,"2025-05-16 08:03:40","NORTHERN RIVERS",4,0,0,0,48,4
23560,"Vibin Nutrition, Victoria Mckay, 100-106 Old Pacific Highway, 3a, OXENFORD, , ",OMO11042,2025-05-16,"2025-05-16 09:47:40","GOLD COAST",2,0,0,0,24,1
23560,"Vibin Nutrition, Victoria Mckay, 100-106 Old Pacific Highway, 3a, OXENFORD, , ",OMO11042,2025-05-16,"2025-05-16 09:47:40","GOLD COAST",2,0,0,0,24,1
